Date,AMD,BAC,BAESY,DRS,INTC,JPM,RTX,TSM,WFC
2020-06-19,54.22999954223633,25.25,25.139999389648438,6.349999904632568,59.619998931884766,97.80999755859375,64.88999938964844,55.310001373291016,27.600000381469727
2020-06-22,54.7599983215332,24.6200008392334,25.670000076293945,6.53000020980835,60.09000015258789,96.75,65.04000091552734,56.0,27.350000381469727
2020-06-23,53.9900016784668,24.790000915527344,25.639999389648438,6.389999866485596,59.91999816894531,97.93000030517578,64.54000091552734,56.7599983215332,27.229999542236328
2020-06-24,52.38999938964844,23.809999465942383,24.200000762939453,6.28000020980835,59.09000015258789,94.66000366210938,61.720001220703125,56.58000183105469,26.1200008392334
2020-06-25,51.93000030517578,24.719999313354492,24.329999923706055,6.679999828338623,58.5099983215332,97.95999908447266,61.060001373291016,57.040000915527344,27.3700008392334
2020-06-26,50.099998474121094,23.149999618530273,24.059999465942383,6.650000095367432,57.5,92.58999633789062,59.099998474121094,56.33000183105469,25.34000015258789
2020-06-29,50.279998779296875,23.389999389648438,24.399999618530273,6.670000076293945,58.27000045776367,93.0,61.91999816894531,56.38999938964844,25.700000762939453
2020-06-30,52.61000061035156,23.75,24.0,6.539999961853027,59.83000183105469,94.05999755859375,61.619998931884766,56.77000045776367,25.600000381469727
2020-07-01,52.58000183105469,23.260000228881836,24.15999984741211,6.559999942779541,58.810001373291016,93.26000213623047,61.61000061035156,56.81999969482422,25.09000015258789
2020-07-02,52.34000015258789,23.290000915527344,24.079999923706055,6.539999961853027,59.130001068115234,92.66000366210938,61.790000915527344,58.619998931884766,25.34000015258789
2020-07-06,53.400001525878906,23.65999984741211,24.579999923706055,6.860000133514404,59.540000915527344,95.0,63.31999969482422,61.880001068115234,25.489999771118164
2020-07-07,52.93000030517578,23.010000228881836,24.489999771118164,6.599999904632568,58.310001373291016,92.31999969482422,61.0099983215332,60.709999084472656,24.459999084472656
2020-07-08,53.43000030517578,23.100000381469727,24.399999618530273,6.389999866485596,58.61000061035156,93.30000305175781,61.0099983215332,62.59000015258789,24.549999237060547
2020-07-09,57.2599983215332,22.770000457763672,24.200000762939453,6.5,58.41999816894531,91.27999877929688,58.11000061035156,64.77999877929688,24.040000915527344
2020-07-10,55.880001068115234,24.020000457763672,24.09000015258789,6.25,59.529998779296875,96.2699966430664,59.63999938964844,63.849998474121094,25.469999313354492
2020-07-13,53.59000015258789,24.190000534057617,23.84000015258789,5.889999866485596,58.58000183105469,97.6500015258789,59.349998474121094,65.06999969482422,25.40999984741211
2020-07-14,54.720001220703125,24.139999389648438,24.040000915527344,6.269999980926514,58.97999954223633,98.20999908447266,60.470001220703125,66.95999908447266,24.25
2020-07-15,55.34000015258789,24.600000381469727,24.979999542236328,6.179999828338623,59.029998779296875,99.7300033569336,62.939998626708984,66.05999755859375,25.350000381469727
2020-07-16,54.91999816894531,23.93000030517578,24.190000534057617,5.96999979019165,59.13999938964844,100.01000213623047,62.369998931884766,66.58999633789062,25.459999084472656
2020-07-17,55.040000915527344,23.219999313354492,24.579999923706055,5.940000057220459,60.0,98.16000366210938,62.20000076293945,66.4000015258789,24.950000762939453
2020-07-20,57.459999084472656,23.579999923706055,25.040000915527344,5.800000190734863,61.150001525878906,97.30000305175781,61.40999984741211,66.88999938964844,24.56999969482422
2020-07-21,57.0,24.420000076293945,25.149999618530273,5.78000020980835,60.70000076293945,99.41000366210938,63.04999923706055,67.80999755859375,26.200000762939453
2020-07-22,61.790000915527344,24.309999465942383,24.899999618530273,5.889999866485596,61.04999923706055,98.69000244140625,63.630001068115234,68.52999877929688,26.260000228881836
2020-07-23,59.56999969482422,24.540000915527344,24.989999771118164,6.079999923706055,60.400001525878906,98.9800033569336,63.119998931884766,67.37000274658203,26.350000381469727
2020-07-24,69.4000015258789,24.350000381469727,24.459999084472656,6.389999866485596,50.59000015258789,98.27999877929688,62.06999969482422,73.9000015258789,26.260000228881836
2020-07-27,68.97000122070312,24.139999389648438,24.719999313354492,6.409999847412109,49.56999969482422,96.9000015258789,61.09000015258789,83.25,25.489999771118164
2020-07-28,67.61000061035156,24.360000610351562,25.059999465942383,6.340000152587891,49.2400016784668,97.31999969482422,61.0,76.91999816894531,25.530000686645508
